,01 IT-ET Glut,02 NP-CT-L6b Glut,03 OB-CR Glut,04 DG-IMN Glut,05 OB-IMN GABA,06 CTX-CGE GABA,07 CTX-MGE GABA,08 CNU-MGE GABA,10 LSX GABA,13 CNU-HYa Glut,18 TH Glut,19 MB Glut,20 MB GABA,30 Astro-Epen,31 OPC-Oligo,33 Vascular,34 Immune
01 IT-ET Glut,1.0,0.7728943673163647,0.5378519025321618,0.3642758539130187,0.5792117314830375,0.9284694603901721,0.9558249512174345,0.5590620284681642,-0.0737819127388389,0.10192978387391433,0.11545590579922148,0.057980444930676715,0.04626525329710585,0.9133700960657297,0.854491153541074,0.9303164458584193,0.9428891528744487
02 NP-CT-L6b Glut,0.7728943673163647,1.0,0.2783927730225197,0.16241407546284486,0.39614821441420717,0.6846755032930405,0.8245413423190433,0.5710191364688503,-0.054561913161037194,0.04205450814106342,0.07128350829932371,-0.021672007296134083,-0.03884931537405343,0.6924254481252115,0.6853401400783982,0.7235844569460191,0.7551406800053254
03 OB-CR Glut,0.5378519025321618,0.2783927730225197,1.0,0.7358725401025824,0.2479449424639771,0.6770177815064465,0.5299805898710215,0.07218356159216532,0.14147372083984947,-0.09586307648205106,0.2485907848289702,0.27156883699791007,0.2778181084187161,0.7347194620339207,0.5664251559395895,0.6444887949616102,0.5521742869035811
04 DG-IMN Glut,0.3642758539130187,0.16241407546284486,0.7358725401025824,1.0,0.326210895699409,0.44123811655933226,0.3149540002476798,-0.06630817274458391,0.3544076169992583,-0.09074931995806075,0.5609752085462499,0.5796073120303311,0.5269340340787303,0.6354366191785568,0.5882174338972921,0.5528854551134097,0.4004649021352988
05 OB-IMN GABA,0.5792117314830375,0.39614821441420717,0.2479449424639771,0.326210895699409,1.0,0.47460151333309375,0.5195392771260661,0.24594925389414332,0.08345613663567975,0.07818326784257197,0.24371322486196245,0.3067782436078356,0.28823158440111996,0.5738841835925628,0.6841295920613072,0.5889050673351761,0.5797833482403504
06 CTX-CGE GABA,0.9284694603901721,0.6846755032930405,0.6770177815064465,0.44123811655933226,0.47460151333309375,1.0,0.9493614766507268,0.5785215177820159,-0.051872987081303265,0.1686381998498548,0.10315508828895309,0.06573482293169028,0.07111165617031077,0.9312135287322565,0.7769741082386155,0.9392735041864607,0.9316619928317674
07 CTX-MGE GABA,0.9558249512174345,0.8245413423190433,0.5299805898710215,0.3149540002476798,0.5195392771260661,0.9493614766507268,1.0,0.619934721207036,-0.07354093298083415,0.16549183716802796,0.0450543525569571,-0.020362223054581633,-0.03280063430593527,0.8895391873232121,0.7802904616877966,0.9218645232024246,0.9372109207457009
08 CNU-MGE GABA,0.5590620284681642,0.5710191364688503,0.07218356159216532,-0.06630817274458391,0.24594925389414332,0.5785215177820159,0.619934721207036,1.0,-0.09729379423534962,0.49344941040384643,-0.06424079484468861,-0.11647217849323942,-0.11539949235539805,0.447446860686989,0.3702184282616873,0.5553487147658736,0.603319316429604
10 LSX GABA,-0.0737819127388389,-0.054561913161037194,0.14147372083984947,0.3544076169992583,0.08345613663567975,-0.051872987081303265,-0.07354093298083415,-0.09729379423534962,1.0,0.32846447264787865,0.3101880462001347,0.19187001975879062,0.13306246869066723,0.14411065982842497,0.2131678269172399,0.0941728610200444,0.07151970396798156
13 CNU-HYa Glut,0.10192978387391433,0.04205450814106342,-0.09586307648205106,-0.09074931995806075,0.07818326784257197,0.1686381998498548,0.16549183716802796,0.49344941040384643,0.32846447264787865,1.0,-0.03349455988677448,-0.026935636050447513,-0.03969387141791233,0.07737366877696183,0.0509811497794422,0.16804222627227455,0.21184781226731716
18 TH Glut,0.11545590579922148,0.07128350829932371,0.2485907848289702,0.5609752085462499,0.24371322486196245,0.10315508828895309,0.0450543525569571,-0.06424079484468861,0.3101880462001347,-0.03349455988677448,1.0,0.8282216031576557,0.7821843741893344,0.31224043723904843,0.43234292700960597,0.2655053230438696,0.1569126834368951
19 MB Glut,0.057980444930676715,-0.021672007296134083,0.27156883699791007,0.5796073120303311,0.3067782436078356,0.06573482293169028,-0.020362223054581633,-0.11647217849323942,0.19187001975879062,-0.026935636050447513,0.8282216031576557,1.0,0.9647488019010519,0.26713417367757963,0.3698836850900974,0.200550730077028,0.11622894950770472
20 MB GABA,0.04626525329710585,-0.03884931537405343,0.2778181084187161,0.5269340340787303,0.28823158440111996,0.07111165617031077,-0.03280063430593527,-0.11539949235539805,0.13306246869066723,-0.03969387141791233,0.7821843741893344,0.9647488019010519,1.0,0.25922800107895166,0.3566357183395711,0.19327163309156642,0.11607380040138392
30 Astro-Epen,0.9133700960657297,0.6924254481252115,0.7347194620339207,0.6354366191785568,0.5738841835925628,0.9312135287322565,0.8895391873232121,0.447446860686989,0.14411065982842497,0.07737366877696183,0.31224043723904843,0.26713417367757963,0.25922800107895166,1.0,0.9126780122734152,0.9735635224324073,0.9408980392614169
31 OPC-Oligo,0.854491153541074,0.6853401400783982,0.5664251559395895,0.5882174338972921,0.6841295920613072,0.7769741082386155,0.7802904616877966,0.3702184282616873,0.2131678269172399,0.0509811497794422,0.43234292700960597,0.3698836850900974,0.3566357183395711,0.9126780122734152,1.0,0.8897662786617245,0.8485862387140235
33 Vascular,0.9303164458584193,0.7235844569460191,0.6444887949616102,0.5528854551134097,0.5889050673351761,0.9392735041864607,0.9218645232024246,0.5553487147658736,0.0941728610200444,0.16804222627227455,0.2655053230438696,0.200550730077028,0.19327163309156642,0.9735635224324073,0.8897662786617245,1.0,0.9649237101346511
34 Immune,0.9428891528744487,0.7551406800053254,0.5521742869035811,0.4004649021352988,0.5797833482403504,0.9316619928317674,0.9372109207457009,0.603319316429604,0.07151970396798156,0.21184781226731716,0.1569126834368951,0.11622894950770472,0.11607380040138392,0.9408980392614169,0.8485862387140235,0.9649237101346511,1.0
