cell_type,n_cells,chi_squared,f_statistic,p_value,peak_scale_um,peak_vmr_ratio,is_significant
01 IT-ET Glut,96399,19164.105697629806,1238.4966267175723,1.1102230246251565e-16,1006.8026224908365,1.3566782736708307,True
31 OPC-Oligo,24132,2171.899922233931,140.36087932804318,1.1102230246251565e-16,1006.8026224908365,1.3297637039568322,True
30 Astro-Epen,63052,528.8467414532323,34.177170366025216,1.1102230246251565e-16,39.48245578395437,0.9469997933003665,True
20 MB GABA,335,94671.38432441076,6118.218714842872,1.1102230246251565e-16,1006.8026224908365,14.515007468858856,True
19 MB Glut,191,29421.035409727556,1901.3594312408966,1.1102230246251565e-16,1006.8026224908365,11.961026274583041,True
18 TH Glut,318,136195.04532101206,8801.720615983773,1.1102230246251565e-16,829.1315714630418,15.960891947237489,True
13 CNU-HYa Glut,80,2119.944534723653,137.00321823044013,1.1102230246251565e-16,1006.8026224908365,4.398784593861627,True
33 Vascular,35425,2393.3144185542415,154.66997943037615,1.1102230246251565e-16,39.48245578395437,1.0970167287861299,True
10 LSX GABA,140,129690.10696061105,8381.333443032687,1.1102230246251565e-16,829.1315714630418,19.332059260813878,True
07 CTX-MGE GABA,16076,687.9009466849909,44.45618362930214,1.1102230246251565e-16,1006.8026224908365,1.2354338454828786,True
05 OB-IMN GABA,230,5283.854959652625,341.4736198414962,1.1102230246251565e-16,829.1315714630418,3.176981757212136,True
04 DG-IMN Glut,35074,930823.4946196993,60155.25985637512,1.1102230246251565e-16,1006.8026224908365,5.779439490753878,True
03 OB-CR Glut,1452,2651.2685637520253,171.34048541254586,1.1102230246251565e-16,829.1315714630418,2.205143599700312,True
02 NP-CT-L6b Glut,18956,137310.77299504454,8873.825465666143,1.1102230246251565e-16,1006.8026224908365,3.8124362838498533,True
06 CTX-CGE GABA,7630,124.10877119069025,8.020634872867737,3.4314454688821883e-07,611.9780646512928,1.089195246600649,True
08 CNU-MGE GABA,102,45.253286250898206,2.924532104649884,0.005793768262058241,829.1315714630418,1.5486444132300392,True
34 Immune,5077,31.037221489806686,2.0058068309739014,0.05138463030396845,335.60087416361216,1.0027393157916518,False
