cell_type,n_cells,peak_vmr_ratio,peak_scale_um,integrated_excess,fingerprint_width,direction,p_value,is_significant
20 MB GABA,413,21.809534802560293,992.7085823548822,13.752351623323985,0.6488033948702885,clustered,1.1102230246251565e-16,True
05 OB-IMN GABA,354,15.785564823221359,992.7085823548822,10.564402336405248,0.7359535705891886,clustered,1.1102230246251565e-16,True
19 MB Glut,239,15.508901505344888,992.7085823548822,8.379653758671619,0.5440680443502757,clustered,1.1102230246251565e-16,True
13 CNU-HYa Glut,177,11.117650907636875,992.7085823548822,4.763494131319195,0.3891660843645326,clustered,1.1102230246251565e-16,True
09 CNU-LGE GABA,225,6.248208292059961,992.7085823548822,3.4448527372304305,0.7359535705891886,clustered,1.1102230246251565e-16,True
03 OB-CR Glut,133,2.998896781498297,992.7085823548822,1.3298839711815345,0.6488033948702885,clustered,1.1102230246251565e-16,True
02 NP-CT-L6b Glut,131873,2.0679780067563946,992.7085823548822,1.3201789923760499,1.3891660843645324,clustered,1.1102230246251565e-16,True
07 CTX-MGE GABA,56619,1.2293825727218872,992.7085823548822,0.27104690349319926,1.3891660843645324,clustered,1.1102230246251565e-16,True
01 IT-ET Glut,441026,1.1995993093204735,992.7085823548822,0.23609986361363092,1.3891660843645324,clustered,1.1102230246251565e-16,True
34 Immune,15228,0.9566136223748984,40.51871764713805,-0.1784184994552364,0.0,regular,3.0838148701306523e-09,True
31 OPC-Oligo,55061,1.1483777006002969,992.7085823548822,0.17414958710074316,1.3891660843645324,clustered,1.1102230246251565e-16,True
08 CNU-MGE GABA,848,1.1932209188022063,830.63371176633,0.13177779689817468,0.834632606336092,clustered,8.56216766953466e-06,True
30 Astro-Epen,103517,0.9758097911691826,40.51871764713805,-0.11772995819764936,0.0,regular,1.1102230246251565e-16,True
33 Vascular,104163,1.0287992933271566,40.51871764713805,-0.08782141506938182,0.0,regular,1.1102230246251565e-16,True
06 CTX-CGE GABA,26330,1.0416496280028142,222.85294705925926,0.001984475404294476,0.0,regular,1.1102230246251565e-16,True
