,11 CNU-HYa GABA,12 HY GABA,13 CNU-HYa Glut,14 HY Glut,17 MH-LH Glut,18 TH Glut,19 MB Glut,20 MB GABA,30 Astro-Epen,31 OPC-Oligo,33 Vascular,34 Immune
11 CNU-HYa GABA,1.0,0.5485123458458608,0.5761459984846607,0.38706300506017693,-0.2659925413531631,0.3627824025165253,0.3967142746034428,0.6460613770372584,0.4638231671621751,0.5318950957374577,0.49093593036494637,0.509527658700756
12 HY GABA,0.5485123458458608,1.0,0.07738394144884263,-0.02276296241075158,-0.4240611324062372,0.09973002754998725,0.14317469539045877,0.3755382069526313,0.15601684550547562,0.6128711235231707,0.32473903284958416,0.3117422000305125
13 CNU-HYa Glut,0.5761459984846607,0.07738394144884263,1.0,0.6890906803012866,-0.15892844045470664,0.40006883305036617,0.6217339625226576,0.29642659625110745,0.5966415550131856,0.3396095564075195,0.4205352275265493,0.5226145862045658
14 HY Glut,0.38706300506017693,-0.02276296241075158,0.6890906803012866,1.0,-0.1439177614453784,0.34745040216061973,0.5808140536209203,0.23372472130967478,0.6190711351021172,0.1094877204936484,0.28736754339331966,0.410578194485024
17 MH-LH Glut,-0.2659925413531631,-0.4240611324062372,-0.15892844045470664,-0.1439177614453784,1.0,-0.264952536812818,-0.0808914949127702,-0.23569935284519736,0.07322229483795234,-0.36243205342098694,-0.2739546625049862,-0.31996535176494834
18 TH Glut,0.3627824025165253,0.09973002754998725,0.40006883305036617,0.34745040216061973,-0.264952536812818,1.0,0.5207219541749476,0.14236917508582303,0.897409014185731,0.7416831053277625,0.929993436946294,0.9232670092656369
19 MB Glut,0.3967142746034428,0.14317469539045877,0.6217339625226576,0.5808140536209203,-0.0808914949127702,0.5207219541749476,1.0,0.2905229884809312,0.7416039350345899,0.4970895404376619,0.5628529286055055,0.583549079645806
20 MB GABA,0.6460613770372584,0.3755382069526313,0.29642659625110745,0.23372472130967478,-0.23569935284519736,0.14236917508582303,0.2905229884809312,1.0,0.2097223394710229,0.3926291893883368,0.23432034279044653,0.19533142264765582
30 Astro-Epen,0.4638231671621751,0.15601684550547562,0.5966415550131856,0.6190711351021172,0.07322229483795234,0.897409014185731,0.7416039350345899,0.2097223394710229,1.0,0.6441037701426818,0.8635441850963765,0.8859717168077047
31 OPC-Oligo,0.5318950957374577,0.6128711235231707,0.3396095564075195,0.1094877204936484,-0.36243205342098694,0.7416831053277625,0.4970895404376619,0.3926291893883368,0.6441037701426818,1.0,0.8972514724614475,0.8614665309861834
33 Vascular,0.49093593036494637,0.32473903284958416,0.4205352275265493,0.28736754339331966,-0.2739546625049862,0.929993436946294,0.5628529286055055,0.23432034279044653,0.8635441850963765,0.8972514724614475,1.0,0.9741977599626778
34 Immune,0.509527658700756,0.3117422000305125,0.5226145862045658,0.410578194485024,-0.31996535176494834,0.9232670092656369,0.583549079645806,0.19533142264765582,0.8859717168077047,0.8614665309861834,0.9741977599626778,1.0
