cell_type,n_cells,mediation_pct,chi2_overall,chi2_within_stratum,p_overall,p_within_stratum,peak_vmr_ratio_overall,peak_vmr_ratio_within_stratum,integrated_excess_overall,integrated_excess_within_stratum
11 CNU-HYa GABA,71,91.29922022972215,571.9223841417736,49.76170710109815,1.1102230246251565e-16,0.0029522118216601667,3.2479977477411666,1.6937623566230857,1.1936867057309337,0.4684153689463417
12 HY GABA,8157,99.50047805161967,34383.94108360121,171.7553324307519,1.1102230246251565e-16,4.947530940491163e-09,3.727861848168181,1.0779659403608997,2.930107609628399,0.0793177679056241
13 CNU-HYa Glut,305,68.15123046461616,78970.90530690085,25151.261631201058,1.1102230246251565e-16,1.1102230246251565e-16,17.764062915967557,8.021783704169051,11.078956477077051,5.3142041128622415
14 HY Glut,84,90.781972556149,4283.576461410894,394.8612537911977,1.1102230246251565e-16,1.5987211554602254e-14,9.551395332497307,2.558295919399668,3.9765112408688608,1.2795712451977515
17 MH-LH Glut,5278,99.98145045955056,3139519.3474930115,582.3664112812896,1.1102230246251565e-16,1.1102230246251565e-16,40.13886442232207,1.1216900394754261,36.782681180833706,0.13991078349267402
18 TH Glut,56668,99.11455235830806,12638.953065202513,111.9113118503863,1.1102230246251565e-16,1.1949188822857337e-06,1.6612344561335326,1.017931374760672,0.6433872619044595,0.017801619960574805
19 MB Glut,2617,97.7898905692628,45895.75024413818,1014.3463044532944,1.1102230246251565e-16,1.1102230246251565e-16,5.5428299978806335,1.6196098748794587,4.183099724836657,0.7058349422502495
20 MB GABA,1149,98.9585822953118,34582.615721038455,360.14948286317895,1.1102230246251565e-16,7.149836278586008e-14,5.275471411661524,1.427283030383303,4.180632172790506,0.45254588238858356
30 Astro-Epen,19713,73.06214305964454,4888.879216891908,1316.959289433113,1.1102230246251565e-16,1.1102230246251565e-16,1.4546007963605037,1.2340870091860008,0.5055629144601445,0.2322789931918687
31 OPC-Oligo,24446,54.42914309683478,729.7680525075543,332.5615549332332,1.1102230246251565e-16,2.5712765250318625e-13,1.2012901572432038,1.1182368724820422,0.23999271270253972,0.13499540066865043
33 Vascular,13915,-43.45088580563248,249.54137805635503,357.9693172734235,2.2353896511617677e-11,7.882583474838611e-14,1.2001473603812132,1.1332789772863732,0.19298548009587907,0.11932484512727883
34 Immune,1299,69.6847130526679,26.377629448239283,7.99645405713771,0.10452107349554063,0.8905549406892692,1.2879503281131912,1.0809568310543256,0.11341675441794596,0.020327844469517325
